document_id,clean_text,sentiment
1,this movie was amazing and enjoyable,positive
2,i loved the product quality and service,positive
3,the experience was terrible and disappointing,negative
4,it was okay nothing special,neutral
5,great performance and excellent story,positive
6,worst purchase i have ever made,negative
7,average experience not too bad not too good,neutral
8,this movie was amazing and enjoyable,positive
9,i loved the product quality and service,positive
10,the experience was terrible and disappointing,negative
11,it was okay nothing special,neutral
12,great performance and excellent story,positive
13,worst purchase i have ever made,negative
14,average experience not too bad not too good,neutral
15,this movie was amazing and enjoyable,positive
16,i loved the product quality and service,positive
17,the experience was terrible and disappointing,negative
18,it was okay nothing special,neutral
19,great performance and excellent story,positive
20,worst purchase i have ever made,negative
21,average experience not too bad not too good,neutral
22,this movie was amazing and enjoyable,positive
23,i loved the product quality and service,positive
24,the experience was terrible and disappointing,negative
25,it was okay nothing special,neutral
26,great performance and excellent story,positive
27,worst purchase i have ever made,negative
28,average experience not too bad not too good,neutral
29,this movie was amazing and enjoyable,positive
30,i loved the product quality and service,positive
31,the experience was terrible and disappointing,negative
32,it was okay nothing special,neutral
33,great performance and excellent story,positive
34,worst purchase i have ever made,negative
35,average experience not too bad not too good,neutral
36,this movie was amazing and enjoyable,positive
37,i loved the product quality and service,positive
38,the experience was terrible and disappointing,negative
39,it was okay nothing special,neutral
40,great performance and excellent story,positive
41,worst purchase i have ever made,negative
42,average experience not too bad not too good,neutral
43,this movie was amazing and enjoyable,positive
44,i loved the product quality and service,positive
45,the experience was terrible and disappointing,negative
46,it was okay nothing special,neutral
47,great performance and excellent story,positive
48,worst purchase i have ever made,negative
49,average experience not too bad not too good,neutral
50,this movie was amazing and enjoyable,positive
51,i loved the product quality and service,positive
52,the experience was terrible and disappointing,negative
53,it was okay nothing special,neutral
54,great performance and excellent story,positive
55,worst purchase i have ever made,negative
56,average experience not too bad not too good,neutral
57,this movie was amazing and enjoyable,positive
58,i loved the product quality and service,positive
59,the experience was terrible and disappointing,negative
60,it was okay nothing special,neutral
61,great performance and excellent story,positive
62,worst purchase i have ever made,negative
63,average experience not too bad not too good,neutral
64,this movie was amazing and enjoyable,positive
65,i loved the product quality and service,positive
66,the experience was terrible and disappointing,negative
67,it was okay nothing special,neutral
68,great performance and excellent story,positive
69,worst purchase i have ever made,negative
70,average experience not too bad not too good,neutral
71,this movie was amazing and enjoyable,positive
72,i loved the product quality and service,positive
73,the experience was terrible and disappointing,negative
74,it was okay nothing special,neutral
75,great performance and excellent story,positive
76,worst purchase i have ever made,negative
77,average experience not too bad not too good,neutral
78,this movie was amazing and enjoyable,positive
79,i loved the product quality and service,positive
80,the experience was terrible and disappointing,negative
81,it was okay nothing special,neutral
82,great performance and excellent story,positive
83,worst purchase i have ever made,negative
84,average experience not too bad not too good,neutral
85,this movie was amazing and enjoyable,positive
86,i loved the product quality and service,positive
87,the experience was terrible and disappointing,negative
88,it was okay nothing special,neutral
89,great performance and excellent story,positive
90,worst purchase i have ever made,negative
91,average experience not too bad not too good,neutral
92,this movie was amazing and enjoyable,positive
93,i loved the product quality and service,positive
94,the experience was terrible and disappointing,negative
95,it was okay nothing special,neutral
96,great performance and excellent story,positive
97,worst purchase i have ever made,negative
98,average experience not too bad not too good,neutral
99,this movie was amazing and enjoyable,positive
100,i loved the product quality and service,positive
